task_id,task_type,assigned_to,asset_type,location,priority,scheduled_time,start_time,completion_time,status,delay_reason,feedback_score,was_missed,expected_duration,actual_duration,technician_experience,asset_age,day_of_week,is_weekend,prev_misses_by_person,prev_misses_by_asset
TASK_00025,HVAC Repair,Tech_01,AC Unit,Building A - Floor 2,Low,2025-03-16 11:00:22.960462,2025-03-16 11:04:22.960462,2025-03-16 14:06:22.960462,Completed,,5.0,False,142,182.0,7,15,Sunday,True,4,4
TASK_00026,HVAC Repair,Tech_01,Pump,Building A - Floor 1,Medium,2025-01-31 11:00:22.960462,2025-01-31 11:19:22.960462,,In Progress,,,False,116,,4,4,Friday,False,1,1
TASK_00027,Electrical,Tech_05,Pump,Lobby,Medium,2025-03-14 11:00:22.960462,,,Scheduled,,,False,179,,4,12,Friday,False,1,10
TASK_00028,Inspection,Tech_01,Pump,Building A - Floor 2,Medium,2025-01-22 11:00:22.960462,2025-01-22 11:29:22.960462,2025-01-22 12:52:22.960462,Completed,,3.0,False,46,83.0,3,10,Wednesday,False,2,1
TASK_00029,Plumbing,Tech_01,AC Unit,Lobby,Medium,2025-02-23 11:00:22.960462,2025-02-23 10:54:22.960462,,Missed,,,True,125,,2,2,Sunday,True,8,14
TASK_00030,Electrical,Tech_01,Fire Alarm,Lobby,Low,2025-01-29 11:00:22.960462,2025-01-29 11:20:22.960462,,In Progress,,,False,61,,7,11,Wednesday,False,0,13
TASK_00031,Electrical,Tech_01,Pump,Building A - Floor 1,High,2025-01-25 11:00:22.960462,2025-01-25 11:19:22.960462,2025-01-25 14:03:22.960462,Completed,,3.0,False,166,164.0,1,13,Saturday,True,2,15
TASK_00032,Plumbing,Tech_03,AC Unit,Warehouse,Medium,2025-01-24 11:00:22.960462,2025-01-24 11:06:22.960462,2025-01-24 11:56:22.960462,Completed,,4.0,False,30,50.0,8,4,Friday,False,0,8
TASK_00033,Plumbing,Tech_05,Fire Alarm,Warehouse,Medium,2025-01-28 11:00:22.960462,2025-01-28 10:56:22.960462,2025-01-28 14:07:22.960462,Completed,,4.0,False,171,191.0,9,9,Tuesday,False,0,9
TASK_00034,Cleaning,Tech_02,Light Fixture,Building A - Floor 2,High,2025-03-02 11:00:22.960462,,,Scheduled,,,False,44,,5,9,Sunday,True,3,5
TASK_00035,Electrical,Tech_02,Light Fixture,Warehouse,Low,2025-02-18 11:00:22.960462,,,Scheduled,,,False,98,,10,15,Tuesday,False,9,4
TASK_00036,Plumbing,Tech_02,Generator,Building A - Floor 1,High,2025-03-11 11:00:22.960462,2025-03-11 11:12:22.960462,2025-03-11 13:37:22.960462,Completed,,5.0,False,143,145.0,3,2,Tuesday,False,2,3
TASK_00037,HVAC Repair,Tech_03,Pump,Building A - Floor 2,Medium,2025-02-09 11:00:22.960462,2025-02-09 10:51:22.960462,,In Progress,,,False,89,,2,3,Sunday,True,1,3
TASK_00038,Inspection,Tech_05,Generator,Building B - Floor 1,Medium,2025-02-16 11:00:22.960462,2025-02-16 10:49:22.960462,,Missed,Resource Unavailable,,True,75,,3,12,Sunday,True,2,8
TASK_00039,Cleaning,Tech_01,Generator,Warehouse,Low,2025-02-27 11:00:22.960462,2025-02-27 11:08:22.960462,,In Progress,,,False,86,,10,15,Thursday,False,8,5
TASK_00040,Cleaning,Tech_03,Fire Alarm,Building A - Floor 2,Medium,2025-02-15 11:00:22.960462,2025-02-15 11:07:22.960462,2025-02-15 12:41:22.960462,Completed,,5.0,False,81,94.0,6,12,Saturday,True,0,1
TASK_00041,Inspection,Tech_01,Pump,Lobby,Low,2025-01-27 11:00:22.960462,2025-01-27 11:30:22.960462,2025-01-27 12:25:22.960462,Completed,,5.0,False,59,55.0,8,10,Monday,False,6,14
TASK_00042,Plumbing,Tech_03,Fire Alarm,Warehouse,Medium,2025-02-27 11:00:22.960462,2025-02-27 10:49:22.960462,,In Progress,,,False,77,,4,5,Thursday,False,9,12
TASK_00043,Electrical,Tech_04,Fire Alarm,Building B - Floor 1,High,2025-03-19 11:00:22.960462,2025-03-19 11:03:22.960462,2025-03-19 12:49:22.960462,Completed,,4.0,False,82,106.0,3,15,Wednesday,False,10,1
TASK_00044,Plumbing,Tech_02,Pump,Warehouse,Medium,2025-03-17 11:00:22.960462,2025-03-17 11:03:22.960462,2025-03-17 12:34:22.960462,Completed,,3.0,False,56,91.0,3,11,Monday,False,3,0
TASK_00045,HVAC Repair,Tech_01,Light Fixture,Building B - Floor 1,Low,2025-02-06 11:00:22.960462,2025-02-06 10:59:22.960462,2025-02-06 13:30:22.960462,Completed,,3.0,False,120,151.0,6,6,Thursday,False,8,1
TASK_00046,Inspection,Tech_04,Generator,Building A - Floor 2,High,2025-03-15 11:00:22.960462,,,Scheduled,,,False,109,,10,12,Saturday,True,4,5
TASK_00047,HVAC Repair,Tech_04,Fire Alarm,Building A - Floor 2,Medium,2025-02-12 11:00:22.960462,,,Scheduled,,,False,69,,1,9,Wednesday,False,7,5
TASK_00048,Electrical,Tech_03,AC Unit,Warehouse,Medium,2025-03-21 11:00:22.960462,2025-03-21 10:56:22.960462,2025-03-21 12:54:22.960462,Completed,,4.0,False,107,118.0,1,11,Friday,False,7,7
TASK_00049,Electrical,Tech_01,Pump,Building A - Floor 2,High,2025-03-04 11:00:22.960462,2025-03-04 11:23:22.960462,2025-03-04 14:13:22.960462,Completed,,4.0,False,166,170.0,3,11,Tuesday,False,4,7
TASK_00050,Inspection,Tech_02,Pump,Building B - Floor 1,Low,2025-02-06 11:00:22.960462,2025-02-06 11:14:22.960462,2025-02-06 13:51:22.960462,Completed,,3.0,False,141,157.0,8,10,Thursday,False,5,1
TASK_00051,Inspection,Tech_03,Generator,Building A - Floor 2,Medium,2025-03-15 11:00:22.960462,2025-03-15 11:07:22.960462,2025-03-15 14:07:22.960462,Completed,,3.0,False,156,180.0,2,15,Saturday,True,10,15
TASK_00052,Cleaning,Tech_05,Pump,Building A - Floor 2,High,2025-02-03 11:00:22.960462,2025-02-03 10:45:22.960462,2025-02-03 11:30:22.960462,Completed,,5.0,False,33,45.0,9,12,Monday,False,3,12
TASK_00053,Inspection,Tech_02,Generator,Lobby,Medium,2025-02-10 11:00:22.960462,2025-02-10 11:21:22.960462,2025-02-10 13:31:22.960462,Completed,,4.0,False,124,130.0,10,9,Monday,False,7,10
TASK_00054,HVAC Repair,Tech_05,Generator,Lobby,High,2025-02-25 11:00:22.960462,2025-02-25 11:21:22.960462,2025-02-25 12:01:22.960462,Completed,,4.0,False,33,40.0,1,5,Tuesday,False,10,12
TASK_00055,Inspection,Tech_04,AC Unit,Building A - Floor 1,Low,2025-02-09 11:00:22.960462,2025-02-09 11:02:22.960462,,In Progress,,,False,127,,2,9,Sunday,True,2,9
TASK_00056,HVAC Repair,Tech_02,Fire Alarm,Warehouse,Low,2025-03-17 11:00:22.960462,2025-03-17 11:17:22.960462,,Missed,,,True,130,,7,2,Monday,False,1,12
TASK_00057,Plumbing,Tech_04,AC Unit,Building B - Floor 1,Medium,2025-02-23 11:00:22.960462,2025-02-23 11:09:22.960462,2025-02-23 12:40:22.960462,Completed,,5.0,False,97,91.0,7,4,Sunday,True,3,15
TASK_00058,HVAC Repair,Tech_01,Pump,Warehouse,Low,2025-03-20 11:00:22.960462,2025-03-20 11:02:22.960462,2025-03-20 13:43:22.960462,Completed,,3.0,False,160,161.0,10,3,Thursday,False,3,11
TASK_00059,Plumbing,Tech_04,Pump,Building B - Floor 1,Low,2025-01-29 11:00:22.960462,2025-01-29 10:57:22.960462,2025-01-29 12:59:22.960462,Completed,,4.0,False,123,122.0,5,7,Wednesday,False,10,5
TASK_00060,Electrical,Tech_05,Generator,Lobby,Medium,2025-03-06 11:00:22.960462,,,Scheduled,,,False,83,,8,8,Thursday,False,10,2
TASK_00061,Plumbing,Tech_04,Generator,Warehouse,Low,2025-02-24 11:00:22.960462,2025-02-24 11:18:22.960462,2025-02-24 13:49:22.960462,Completed,,3.0,False,156,151.0,5,7,Monday,False,1,8
TASK_00062,Cleaning,Tech_01,Fire Alarm,Warehouse,Medium,2025-02-08 11:00:22.960462,2025-02-08 11:23:22.960462,2025-02-08 12:39:22.960462,Completed,,5.0,False,47,76.0,6,3,Saturday,True,7,5
TASK_00063,Plumbing,Tech_03,Fire Alarm,Warehouse,High,2025-02-16 11:00:22.960462,2025-02-16 11:25:22.960462,2025-02-16 12:21:22.960462,Completed,,5.0,False,41,56.0,9,3,Sunday,True,5,12
TASK_00064,Cleaning,Tech_03,AC Unit,Warehouse,Medium,2025-01-27 11:00:22.960462,2025-01-27 10:55:22.960462,2025-01-27 12:36:22.960462,Completed,,5.0,False,102,101.0,9,3,Monday,False,2,7
TASK_00065,HVAC Repair,Tech_03,Light Fixture,Building B - Floor 1,High,2025-02-08 11:00:22.960462,2025-02-08 10:46:22.960462,2025-02-08 12:13:22.960462,Completed,,5.0,False,58,87.0,4,10,Saturday,True,3,4
TASK_00066,Cleaning,Tech_02,Generator,Building A - Floor 1,High,2025-02-28 11:00:22.960462,2025-02-28 11:01:22.960462,2025-02-28 14:33:22.960462,Completed,,3.0,False,172,212.0,7,3,Friday,False,0,5
TASK_00067,Electrical,Tech_04,Fire Alarm,Building A - Floor 2,High,2025-03-02 11:00:22.960462,2025-03-02 11:28:22.960462,,Missed,Access Denied,,True,39,,7,12,Sunday,True,5,10
TASK_00068,Cleaning,Tech_01,Generator,Building A - Floor 2,High,2025-01-31 11:00:22.960462,2025-01-31 10:56:22.960462,2025-01-31 14:34:22.960462,Completed,,5.0,False,178,218.0,4,3,Friday,False,2,2
TASK_00069,Electrical,Tech_01,Light Fixture,Building A - Floor 1,Low,2025-02-06 11:00:22.960462,2025-02-06 10:51:22.960462,,In Progress,,,False,72,,2,9,Thursday,False,4,5
TASK_00070,Cleaning,Tech_01,AC Unit,Building A - Floor 2,High,2025-01-28 11:00:22.960462,2025-01-28 11:21:22.960462,,Missed,Weather Delay,,True,144,,10,14,Tuesday,False,4,2
TASK_00071,Electrical,Tech_01,AC Unit,Warehouse,Medium,2025-01-26 11:00:22.960462,2025-01-26 11:00:22.960462,2025-01-26 14:19:22.960462,Completed,,5.0,False,161,199.0,5,2,Sunday,True,3,12
TASK_00072,Inspection,Tech_01,AC Unit,Warehouse,Low,2025-02-20 11:00:22.960462,2025-02-20 11:12:22.960462,2025-02-20 12:37:22.960462,Completed,,4.0,False,60,85.0,7,10,Thursday,False,4,5
TASK_00073,Plumbing,Tech_02,AC Unit,Warehouse,Medium,2025-02-15 11:00:22.960462,2025-02-15 11:08:22.960462,2025-02-15 12:36:22.960462,Completed,,3.0,False,82,88.0,9,10,Saturday,True,8,11
TASK_00074,HVAC Repair,Tech_05,Light Fixture,Lobby,Low,2025-03-01 11:00:22.960462,2025-03-01 11:04:22.960462,,In Progress,,,False,62,,4,13,Saturday,True,6,5
TASK_00075,Plumbing,Tech_01,Light Fixture,Lobby,Medium,2025-02-19 11:00:22.960462,2025-02-19 11:23:22.960462,,Missed,Access Denied,,True,146,,2,7,Wednesday,False,10,2
TASK_00076,HVAC Repair,Tech_02,Generator,Building B - Floor 1,Low,2025-03-20 11:00:22.960462,2025-03-20 11:30:22.960462,2025-03-20 13:48:22.960462,Completed,,4.0,False,114,138.0,2,15,Thursday,False,4,0
TASK_00077,Cleaning,Tech_05,Generator,Warehouse,Medium,2025-02-04 11:00:22.960462,2025-02-04 10:47:22.960462,2025-02-04 12:38:22.960462,Completed,,4.0,False,78,111.0,4,6,Tuesday,False,10,9
TASK_00078,Plumbing,Tech_05,AC Unit,Building B - Floor 1,Low,2025-02-25 11:00:22.960462,2025-02-25 11:16:22.960462,2025-02-25 13:59:22.960462,Completed,,4.0,False,132,163.0,1,4,Tuesday,False,8,7
TASK_00079,HVAC Repair,Tech_02,Fire Alarm,Warehouse,High,2025-02-14 11:00:22.960462,2025-02-14 11:09:22.960462,2025-02-14 13:33:22.960462,Completed,,5.0,False,127,144.0,7,14,Friday,False,2,0
TASK_00080,Inspection,Tech_05,Generator,Warehouse,Low,2025-02-01 11:00:22.960462,2025-02-01 11:06:22.960462,2025-02-01 12:40:22.960462,Completed,,3.0,False,87,94.0,5,1,Saturday,True,7,5
TASK_00081,Cleaning,Tech_03,Pump,Warehouse,Low,2025-03-15 11:00:22.960462,2025-03-15 11:29:22.960462,2025-03-15 12:07:22.960462,Completed,,3.0,False,42,38.0,3,8,Saturday,True,1,10
TASK_00082,Cleaning,Tech_01,AC Unit,Building B - Floor 1,Medium,2025-02-08 11:00:22.960462,2025-02-08 10:54:22.960462,2025-02-08 12:13:22.960462,Completed,,4.0,False,40,79.0,9,3,Saturday,True,10,9
TASK_00083,Cleaning,Tech_02,AC Unit,Lobby,High,2025-02-10 11:00:22.960462,2025-02-10 11:28:22.960462,2025-02-10 14:00:22.960462,Completed,,4.0,False,146,152.0,6,13,Monday,False,1,13
TASK_00084,HVAC Repair,Tech_01,Pump,Lobby,Medium,2025-01-25 11:00:22.960462,2025-01-25 11:11:22.960462,2025-01-25 13:25:22.960462,Completed,,4.0,False,111,134.0,5,2,Saturday,True,5,0
TASK_00085,Electrical,Tech_04,Pump,Building A - Floor 1,High,2025-02-02 11:00:22.960462,2025-02-02 11:30:22.960462,2025-02-02 12:59:22.960462,Completed,,5.0,False,56,89.0,9,13,Sunday,True,3,2
TASK_00086,Plumbing,Tech_02,Fire Alarm,Building A - Floor 2,Low,2025-02-17 11:00:22.960462,,,Scheduled,,,False,47,,2,6,Monday,False,9,7
TASK_00087,HVAC Repair,Tech_01,Pump,Lobby,Low,2025-02-08 11:00:22.960462,2025-02-08 10:55:22.960462,,In Progress,,,False,160,,4,2,Saturday,True,7,3
TASK_00088,Plumbing,Tech_03,Light Fixture,Building B - Floor 1,Low,2025-02-07 11:00:22.960462,2025-02-07 10:56:22.960462,2025-02-07 12:21:22.960462,Completed,,3.0,False,59,85.0,9,14,Friday,False,5,2
TASK_00089,Plumbing,Tech_01,Light Fixture,Lobby,Medium,2025-03-18 11:00:22.960462,2025-03-18 11:10:22.960462,,In Progress,,,False,137,,10,7,Tuesday,False,10,13
TASK_00090,HVAC Repair,Tech_05,Light Fixture,Lobby,High,2025-02-11 11:00:22.960462,2025-02-11 11:17:22.960462,2025-02-11 14:09:22.960462,Completed,,5.0,False,166,172.0,3,3,Tuesday,False,9,15
TASK_00091,Electrical,Tech_01,Generator,Building A - Floor 2,High,2025-01-28 11:00:22.960462,2025-01-28 10:53:22.960462,,Missed,Late Assignment,,True,71,,7,8,Tuesday,False,3,12
TASK_00092,HVAC Repair,Tech_01,Pump,Warehouse,Medium,2025-01-22 11:00:22.960462,2025-01-22 10:53:22.960462,2025-01-22 12:48:22.960462,Completed,,5.0,False,109,115.0,1,9,Wednesday,False,4,11
TASK_00093,HVAC Repair,Tech_01,Light Fixture,Warehouse,High,2025-03-21 11:00:22.960462,2025-03-21 11:11:22.960462,,Missed,Late Assignment,,True,93,,5,3,Friday,False,8,0
TASK_00094,HVAC Repair,Tech_03,Generator,Warehouse,Medium,2025-02-13 11:00:22.960462,2025-02-13 10:50:22.960462,2025-02-13 12:34:22.960462,Completed,,5.0,False,69,104.0,3,5,Thursday,False,10,2
TASK_00095,Electrical,Tech_02,Pump,Building A - Floor 1,Medium,2025-01-25 11:00:22.960462,2025-01-25 10:53:22.960462,,In Progress,,,False,148,,7,7,Saturday,True,4,8
TASK_00096,Electrical,Tech_03,Generator,Lobby,Medium,2025-02-27 11:00:22.960462,2025-02-27 10:54:22.960462,,Missed,Weather Delay,,True,156,,10,13,Thursday,False,5,0
TASK_00097,Inspection,Tech_03,Light Fixture,Lobby,Low,2025-03-08 11:00:22.960462,2025-03-08 11:12:22.960462,2025-03-08 12:50:22.960462,Completed,,3.0,False,94,98.0,5,4,Saturday,True,7,12
TASK_00098,Cleaning,Tech_03,AC Unit,Building B - Floor 1,Low,2025-01-24 11:00:22.960462,2025-01-24 11:15:22.960462,,Missed,Weather Delay,,True,118,,2,12,Friday,False,6,2
TASK_00099,Plumbing,Tech_04,Fire Alarm,Lobby,High,2025-03-02 11:00:22.960462,2025-03-02 11:15:22.960462,2025-03-02 14:12:22.960462,Completed,,4.0,False,176,177.0,6,13,Sunday,True,8,6
TASK_00100,Electrical,Tech_01,Fire Alarm,Building A - Floor 2,Medium,2025-02-01 11:00:22.960462,2025-02-01 11:22:22.960462,,In Progress,,,False,51,,5,7,Saturday,True,1,5
TASK_00101,Plumbing,Tech_05,Fire Alarm,Building B - Floor 1,High,2025-02-22 11:00:22.960462,2025-02-22 11:12:22.960462,,Missed,Weather Delay,,True,152,,3,7,Saturday,True,8,3
TASK_00102,HVAC Repair,Tech_04,AC Unit,Lobby,Low,2025-02-09 11:00:22.960462,2025-02-09 11:03:22.960462,2025-02-09 13:51:22.960462,Completed,,4.0,False,170,168.0,5,3,Sunday,True,9,14
TASK_00103,Plumbing,Tech_04,Fire Alarm,Building B - Floor 1,Low,2025-03-21 11:00:22.960462,2025-03-21 10:53:22.960462,,Missed,,,True,161,,1,9,Friday,False,1,14
TASK_00104,Plumbing,Tech_03,Light Fixture,Building B - Floor 1,High,2025-02-05 11:00:22.960462,2025-02-05 10:51:22.960462,2025-02-05 13:06:22.960462,Completed,,4.0,False,124,135.0,8,9,Wednesday,False,0,13
TASK_00105,Plumbing,Tech_02,Generator,Warehouse,High,2025-03-01 11:00:22.960462,2025-03-01 11:18:22.960462,2025-03-01 13:56:22.960462,Completed,,4.0,False,135,158.0,9,13,Saturday,True,8,5
TASK_00106,Inspection,Tech_04,Light Fixture,Building A - Floor 1,High,2025-03-09 11:00:22.960462,2025-03-09 11:06:22.960462,2025-03-09 13:49:22.960462,Completed,,4.0,False,164,163.0,10,7,Sunday,True,9,13
TASK_00107,Plumbing,Tech_04,Fire Alarm,Building B - Floor 1,Medium,2025-02-13 11:00:22.960462,,,Scheduled,,,False,116,,9,15,Thursday,False,10,0
TASK_00108,Cleaning,Tech_05,Fire Alarm,Warehouse,High,2025-02-25 11:00:22.960462,2025-02-25 11:13:22.960462,2025-02-25 12:28:22.960462,Completed,,5.0,False,45,75.0,8,1,Tuesday,False,10,15
TASK_00109,HVAC Repair,Tech_03,Generator,Building A - Floor 1,Low,2025-03-15 11:00:22.960462,2025-03-15 11:15:22.960462,2025-03-15 12:26:22.960462,Completed,,5.0,False,32,71.0,6,6,Saturday,True,1,7
TASK_00110,HVAC Repair,Tech_04,Pump,Building B - Floor 1,High,2025-03-09 11:00:22.960462,2025-03-09 11:11:22.960462,2025-03-09 12:10:22.960462,Completed,,4.0,False,60,59.0,4,8,Sunday,True,4,15
TASK_00111,Plumbing,Tech_01,Fire Alarm,Building A - Floor 2,Medium,2025-02-19 11:00:22.960462,2025-02-19 11:25:22.960462,2025-02-19 13:34:22.960462,Completed,,5.0,False,127,129.0,1,9,Wednesday,False,5,9
TASK_00112,Plumbing,Tech_01,Generator,Warehouse,High,2025-02-20 11:00:22.960462,2025-02-20 11:25:22.960462,,In Progress,,,False,151,,9,3,Thursday,False,5,0
TASK_00113,Cleaning,Tech_05,Light Fixture,Building B - Floor 1,Medium,2025-02-16 11:00:22.960462,2025-02-16 11:13:22.960462,2025-02-16 14:27:22.960462,Completed,,5.0,False,173,194.0,6,13,Sunday,True,4,8
TASK_00114,Plumbing,Tech_02,Fire Alarm,Building A - Floor 2,High,2025-03-20 11:00:22.960462,,,Scheduled,,,False,154,,1,4,Thursday,False,0,9
TASK_00115,Inspection,Tech_01,Fire Alarm,Building A - Floor 1,Low,2025-01-25 11:00:22.960462,2025-01-25 11:05:22.960462,2025-01-25 14:19:22.960462,Completed,,4.0,False,179,194.0,2,8,Saturday,True,5,3
TASK_00116,HVAC Repair,Tech_03,Generator,Building A - Floor 1,Medium,2025-01-24 11:00:22.960462,2025-01-24 11:09:22.960462,2025-01-24 12:24:22.960462,Completed,,4.0,False,54,75.0,7,8,Friday,False,0,6
TASK_00117,Electrical,Tech_02,AC Unit,Building A - Floor 2,Medium,2025-03-14 11:00:22.960462,2025-03-14 11:00:22.960462,2025-03-14 12:50:22.960462,Completed,,3.0,False,102,110.0,3,10,Friday,False,1,2
TASK_00118,HVAC Repair,Tech_05,Light Fixture,Warehouse,Low,2025-01-26 11:00:22.960462,,,Scheduled,,,False,171,,7,9,Sunday,True,3,12
TASK_00119,Plumbing,Tech_04,Light Fixture,Building A - Floor 2,High,2025-01-30 11:00:22.960462,2025-01-30 11:16:22.960462,,In Progress,,,False,40,,6,9,Thursday,False,5,13
TASK_00120,Cleaning,Tech_02,Pump,Building B - Floor 1,Medium,2025-02-01 11:00:22.960462,,,Scheduled,,,False,162,,2,12,Saturday,True,8,6
TASK_00121,Cleaning,Tech_04,Light Fixture,Warehouse,Low,2025-01-23 11:00:22.960462,2025-01-23 10:48:22.960462,2025-01-23 13:20:22.960462,Completed,,5.0,False,162,152.0,1,10,Thursday,False,6,12
TASK_00122,Electrical,Tech_05,Generator,Warehouse,High,2025-02-13 11:00:22.960462,,,Scheduled,,,False,171,,3,5,Thursday,False,2,14
TASK_00123,Electrical,Tech_04,Generator,Lobby,Low,2025-03-08 11:00:22.960462,2025-03-08 11:19:22.960462,2025-03-08 13:40:22.960462,Completed,,4.0,False,101,141.0,6,10,Saturday,True,3,15
TASK_00124,Cleaning,Tech_05,Fire Alarm,Building A - Floor 2,High,2025-02-10 11:00:22.960462,,,Scheduled,,,False,82,,7,10,Monday,False,2,3
TASK_00125,Inspection,Tech_04,Generator,Lobby,High,2025-02-21 11:00:22.960462,2025-02-21 11:11:22.960462,2025-02-21 13:36:22.960462,Completed,,3.0,False,147,145.0,7,10,Friday,False,2,1
TASK_00126,Electrical,Tech_03,Light Fixture,Building B - Floor 1,Medium,2025-02-19 11:00:22.960462,,,Scheduled,,,False,111,,8,4,Wednesday,False,6,10
TASK_00127,Cleaning,Tech_02,Pump,Lobby,Medium,2025-02-13 11:00:22.960462,2025-02-13 10:48:22.960462,2025-02-13 13:00:22.960462,Completed,,4.0,False,140,132.0,6,13,Thursday,False,10,4
TASK_00128,Plumbing,Tech_04,AC Unit,Building A - Floor 1,Medium,2025-02-16 11:00:22.960462,2025-02-16 11:27:22.960462,,In Progress,,,False,69,,8,1,Sunday,True,10,4
